Title/Details,Site: in Papers Section?,Site: Public?,Date (D/M/Y),Venue,Link,Site: Link to Paper,Site: Link to Github,Site: Alt Source,Abstract,Site: Blurb,Site: Link to Blog Post,Site: List of Authors,Site: Venue,Site: codename,Status
Incoherent Values? Probing LLM Preferences Through Parametric Variation,Yes,Yes,19/06/2026,"Artificial Intelligence, Ethics, and Society Conference 2026",https://arxiv.org/abs/2606.21102,https://arxiv.org/abs/2606.21102,,,,"Probes whether large language models exhibit coherent preferences under parametric variations, finding substantial incoherence in forced choices and some improvement when models are given time to reason.",,"Elena Ajayi, Angelica Chowdhury, Seth Lazar",Preprint,incoherent-values-probe,Under Review
Abhorrence and Autonomy: On the Place of Public Attitudes in the Debate on Militarised Artificial Intelligence,Yes,Yes,16/06/2026,Philosophy & Technology,https://doi.org/10.1007/s13347-026-01126-0,https://doi.org/10.1007/s13347-026-01126-0,,,"Advocates of banning autonomous weapons systems invoke the Martens Clause, arguing that widespread public opposition constitutes ""dictates of public conscience"" sufficient to ground prohibition absent explicit treaty language. This claim rests on polling reporting stable opposition to autonomous weapons, interpreted as a categorical moral conviction against delegating life-and-death decisions to machines. This article argues that this abhorrence-based case fails to justify, with current evidence, a blanket prohibition. Drawing on experimental research in moral psychology and studies of public attitudes toward autonomous weapons, I show that these intuitions fail to meet the necessary epistemic standards, due to framing issues, differences across demographic categories, and plausibly due to structural concerns regarding how advocacy groups are incentivised to shape public opinions rather than simply measure them. This critique neither establishes moral acceptability of autonomous weapons nor rejects intuition-based arguments in principle; rather, it clarifies epistemic limits of current appeals to public conscience and their inability to meet the threshold of ""crystallised moral consensus"" that the Martens Clause requires. The article concludes by proposing systematic experimental methods capable of identifying stable moral opposition to specific high-risk configurations of military autonomy, supporting discriminating regulation rather than categorical prohibition.",Current evidence does not yet establish a moral consensus against autonomous weapons systems strong enough to ban their use.,,Timothy Dubber,Philosophy & Technology,abhorrence-autonomy-military-ai,Published
"Agents, Alignment, and the Many Faces of Autonomy",Yes,Yes,15/06/2026,Minds and Machines,https://doi.org/10.1007/s11023-026-09786-9,https://doi.org/10.1007/s11023-026-09786-9,,,"This article investigates the prospect of aligning AI agents with human autonomy. We show that doing so is a challenge: while there is general agreement on the concept’s broad contours, its components can be specified in a number of conflicting ways, making it difficult to decide how an autonomy-enhancing agent should act. In response, we introduce three strategies for dealing with disagreements about interpretations of autonomy. Each offers a coherent approach that captures a different set of considerations, with its own strength and trade-offs. The liberal approach is committed to user integrity and promotes human autonomy by acting strictly on what a person says they want, without trying to change their mind. The capability-boosting approach is built around the idea of flourishing and promotes human autonomy by empowering the user to act on their goals. The meta-autonomy approach prioritizes choice by giving the user the kind of autonomy they want in relation to their interactions with an AI agent. By highlighting the multifaceted nature of human autonomy, this article contributes to recent efforts seeking to identify and operationalize targets of AI value alignment. It also illustrates the challenges and trade-offs that can arise not just between—but even within—the values selected as targets for alignment and offers strategies to navigate them.",Aligning AI agents with human autonomy raises novel conceptual issues; this paper provides three promising approaches for handling them.,,"Roberta Fischli, Matija Franklin, Arianna Manzini, Iason Gabriel",Minds and Machines,agents-alignment-autonomy,Published
Platform Legitimacy Between Rights and Rule,Yes,Yes,10/06/2026,Philosophy & Technology,https://doi.org/10.1007/s13347-026-01118-0,https://doi.org/10.1007/s13347-026-01118-0,,,"This article examines the conditions for the legitimacy of online platforms and their relation to permissible acts of public interference. We develop what we call the Interference Conception of legitimacy and apply it to three categories of moral criticism that can be made against online platforms: that they have the power to violate rights, that they harm without violating rights, and that they inappropriately govern their users. We argue that violating rights and inappropriately governing directly undermines platform legitimacy, but not the fact that platforms cause mere harms. Furthermore, platforms are illegitimate and deserve strong interference primarily due to rights violations, with governance issues warranting weaker interference.",When are online platforms illegitimate enough to undermine their rules or warrant public resistance?,,"Sean Donahue, Jake Stone, Athmeya Jayaram",Philosophy & Technology,platform-legitimacy-rights-rule,Published
Are LLMs Bad at Moral Reasoning?,Yes,Yes,10/06/2026,Conference on Neural Information Processing Systems 2026,https://arxiv.org/abs/2606.11635,https://arxiv.org/abs/2606.11635,,,,"LLMs perform unexpectedly well at a moral reasoning task drawn from MoReBench (Chiu et al., 2025): creating rubrics for analysing moral dilemmas.",,"Menghang Zhu, Seth Lazar",Preprint,bad-moral-reasoning,Under Review
The Agentic Web Requires New Normative Infrastructure,Yes,Yes,09/06/2026,"Artificial Intelligence, Ethics, and Society Conference 2026",https://arxiv.org/abs/2606.10711,https://arxiv.org/abs/2606.10711,,,"The agentic web, in which users interact with the internet largely through agents acting on their behalf, is now technically feasible. However, many of the consumer and social benefits that could be realized by online AI agents acting scrupulously in their principals' interest are currently obstructed by outdated laws, terms of service, and other less formal practices which allow online platforms to block and degrade agent access, often in secret. No distinction is currently drawn between ""malicious bots"" and AI agents acting with the express delegated authority of a user. For the agentic web to realize its promise, it needs not only the technical infrastructure of protocols and interfaces, but the normative infrastructure of a broadly-accepted and socially-beneficial set of laws, norms and practices governing agentic access to online properties. Building that normative infrastructure requires a society-wide conversation. This paper aims to help precipitate that conversation, to identify normative principles that can guide it, and to advocate for policies that enable users' appropriately delegated agents to act online on their behalf, with as few curbs on their doing so as is reasonable given the other legitimate interests at stake.","To make the most of web agents, we need principles that guide good relationships between users, agents and platforms.",,"Cameron Pattison, Matthew Boulos, Noam Kolt, Changbai Li, Tiziano Piccardi, Seth Lazar",Preprint,agentic-normative-infra,Under Review
NoRA: Evaluating Grounded Reasonableness in Visual First-person Normative Action Reasoning,Yes,Yes,03/06/2026,Conference on Neural Information Processing Systems 2026,https://arxiv.org/abs/2606.04806,https://arxiv.org/abs/2606.04806,,,"LLMs and agentic systems are increasingly deployed in social environments, making normative competence critical for safe and appropriate behavior. However, existing approaches either assess normative judgment in text alone or reduce it to choosing among a fixed set of candidate actions. We argue both are insufficient. In practice, agents are never handed a menu of options; they must identify a reasonable action from scratch, grounded in visible facts and supported by inspectable reasons. We introduce NoRA, a visual first-person video benchmark that requires models to generate candidate next actions and justify each through an explicit fact-reason-action support graph. The benchmark comprises 1,420 annotated video clips, including HumanGold-190 and LLMSilver-1230 splits. Each instance is evaluated through action alignment, factual grounding, and support binding, aggregated into a single grounded reasonableness score. We benchmark 12 multimodal systems under direct, deliberate, and structured prompting regimes, finding that current VLMs frequently recover plausible actions and relevant scene facts, but consistently struggle to construct the full reasonable action space and bind selected actions to the correct local support. NoRA makes this gap measurable, shifting the evaluation question from whether a model can pick an action to whether it can justify an appropriate action for the right visible reasons.","Normative reasoning benchmark for vision language models: given a first-person video, can they come up with a reasonable next action?",,"Sichao Li, Sai Ma, Daniel Kilov, Secil Yanik Guyot, Zhuang Li, Seth Lazar",Preprint,nora-vision-eval,Under Review
Open-World Evaluations for Measuring Frontier AI Capabilities,Yes,Yes,19/05/2026,Conference on Neural Information Processing Systems 2026 Evaluations and Datasets Track,https://arxiv.org/abs/2605.20520,https://arxiv.org/abs/2605.20520,,,"Benchmark-based evaluation remains important for tracking frontier AI progress. But it can both overstate and understate deployed capability because it privileges tasks that can be precisely specified, automatically graded, easy to optimize for, and run with low budgets and short time horizons. We advocate for a complementary class of evaluations, which we term open-world evaluations: long-horizon, messy, real-world tasks assessed through small-sample qualitative analysis rather than benchmark-scale automation. In this paper we survey recent open-world evaluations, identify their strengths and limitations, and introduce CRUX (Collaborative Research for Updating AI eXpectations), a project for conducting such evaluations regularly. As a first instance, we task an AI agent with developing and publishing a simple iOS application to the Apple App Store. The agent completed the task with only a single avoidable manual intervention, suggesting that open-world evaluations can provide early warning of capabilities that may soon become widespread. We conclude with recommendations for designing and reporting open-world evals.","We need more open-world evaluations (long-horizon, messy, real-world tasks with small samples), so this paper introduces a framework and a concrete example.",,"Sayash Kapoor, Peter Kirgis, Andrew Schwartz, Stephan Rabanser, J. J. Allaire, Rishi Bommasani, Harry Coppock, Magda Dubois, Gillian K Hadfield, Andrew B. Hall, Sara Hooker, Seth Lazar, Steve Newman, Dimitris Papailiopoulos, Shoshannah Tekofsky, Helen Toner, Cozmin Ududec, Arvind Narayanan",Preprint,open-world-evals,Under Review
Non-Ideal Foundations for Preference-Based AI Alignment,Yes,Yes,09/05/2026,Philosophy & Technology,https://link.springer.com/article/10.1007/s13347-026-01102-8,https://link.springer.com/article/10.1007/s13347-026-01102-8,,,"Contemporary AI alignment relies on preference-based methods, especially RLHF, that critics deem normatively thin. I argue these methods are best understood as normatively grounded in non-ideal approaches to justice: they prioritize comparative judgments, harm reduction, and iterative revision without first characterizing what ideal justice would require. Read that way, the very features taken as defects—lack of fixed principles, local trade-off judgments, continual updating—are strengths for steering moral progress under complexity and pluralism. Using alignment practice as a test case, I show that the priority claims ideal theorists make—that characterizing the ideal is necessary for measuring progress and guiding reform—face second-best and redundancy problems, whereas non-ideal methods produce measurable improvements by directly targeting manifest harms. The upshot is twofold: for AI ethics, preference-based alignment has a robust normative foundation; for political philosophy, alignment provides rare, high-stakes evidence against the priority of ideal theory.","Pattison argues that preference-based alignment, especially RLHF, fits non-ideal political theory: comparative judgments, harm reduction, and iterative revision can guide alignment without first specifying an ideal.",,Cameron Pattison,Philosophy & Technology,nonideal-preference-alignment,Published
Mechanistic Auditing Is Necessary for AI Governance,Yes,No,07/05/2026,Conference on Neural Information Processing Systems 2026 Position Paper Track,,,,,,,,"Fazl Barez, Niloofar Mireshghallah, M. A. Osborne, Stella Biderman, Seth Lazar, Robert F. Trager",Conference on Neural Information Processing Systems 2026 Position Paper Track,mech-auditing,Under Review
